         3705887 function calls (3631411 primitive calls) in 20.624 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     3224    0.022    0.000    0.055    0.000 text.py:238(update)
  215/114    0.003    0.000    0.055    0.000 sre_parse.py:407(_parse_sub)
    14861    0.046    0.000    0.055    0.000 six.py:577(itervalues)
      442    0.048    0.000    0.054    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    15151    0.023    0.000    0.053    0.000 weakref.py:334(__new__)
      500    0.043    0.000    0.053    0.000 velocity_field.py:43(_dfdx)
       80    0.003    0.000    0.053    0.001 spines.py:44(__init__)
        1    0.000    0.000    0.053    0.053 fontconfig_pattern.py:7(<module>)
      920    0.020    0.000    0.052    0.000 transforms.py:1910(rotate)
 1136/114    0.015    0.000    0.052    0.000 sre_compile.py:64(_compile)
        1    0.000    0.000    0.052    0.052 client.py:69(<module>)
      442    0.006    0.000    0.052    0.000 transforms.py:2702(_revalidate)
        1    0.000    0.000    0.052    0.052 collections.py:10(<module>)
      324    0.001    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
     1104    0.003    0.000    0.051    0.000 backend_bases.py:724(new_gc)
      490    0.016    0.000    0.051    0.000 ticker.py:1676(_validate_steps)
       11    0.001    0.000    0.051    0.005 artist.py:1226(pprint_setters)
        1    0.009    0.009    0.051    0.051 backend_qt5.py:458(__init__)
      324    0.003    0.000    0.051    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
  945/805    0.021    0.000    0.051    0.000 sre_parse.py:469(_parse)
     4899    0.014    0.000    0.050    0.000 colors.py:107(_is_nth_color)
     3723    0.017    0.000    0.049    0.000 lines.py:653(set_data)
       24    0.000    0.000    0.049    0.002 __init__.py:1137(rc_params_from_file)
       60    0.001    0.000    0.049    0.001 transforms.py:1622(set)
    15151    0.048    0.000    0.048    0.000 weakref.py:339(__init__)
     1104    0.015    0.000    0.048    0.000 backend_bases.py:786(__init__)
      990    0.007    0.000    0.047    0.000 shape_base.py:283(<listcomp>)
     2662    0.043    0.000    0.046    0.000 font_manager.py:848(set_weight)
      893    0.016    0.000    0.046    0.000 axis.py:590(update_position)
       55    0.001    0.000    0.046    0.001 pyparsing.py:946(setParseAction)
       80    0.002    0.000    0.046    0.001 axis.py:1764(_get_pixel_distance_along_axis)
       55    0.001    0.000    0.045    0.001 pyparsing.py:786(_trim_arity)
      120    0.009    0.000    0.045    0.000 transforms.py:723(union)
       55    0.001    0.000    0.045    0.001 pyparsing.py:794(extract_stack)
       55    0.000    0.000    0.044    0.001 traceback.py:196(extract_stack)
      382    0.004    0.000    0.044    0.000 text.py:316(update_from)
       55    0.009    0.000    0.044    0.001 traceback.py:313(extract)
        2    0.000    0.000    0.044    0.022 __init__.py:45(<module>)
      904    0.009    0.000    0.043    0.000 text.py:901(get_prop_tup)
        1    0.000    0.000    0.043    0.043 core.py:1(<module>)
      555    0.011    0.000    0.043    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
        1    0.000    0.000    0.042    0.042 pyparsing.py:58(<module>)
        1    0.000    0.000    0.041    0.041 core.py:155(load_base_library)
        1    0.000    0.000    0.041    0.041 core.py:187(read_style_directory)
      790    0.014    0.000    0.041    0.000 axis.py:455(update_position)
      821    0.005    0.000    0.041    0.000 transforms.py:2550(__init__)
       11    0.005    0.000    0.041    0.004 artist.py:1145(_get_setters_and_targets)
   177826    0.041    0.000    0.041    0.000 pyparsing.py:3432(<lambda>)
       24    0.007    0.000    0.041    0.002 __init__.py:1060(_rc_params_in_file)
      602    0.007    0.000    0.041    0.000 transforms.py:1448(transform_path_non_affine)
     7216    0.040    0.000    0.040    0.000 {built-in method numpy.core.multiarray.zeros}
     2960    0.016    0.000    0.040    0.000 shape_base.py:9(atleast_1d)
     2612    0.030    0.000    0.040    0.000 font_manager.py:885(set_size)
      250    0.008    0.000    0.040    0.000 core.py:2753(__new__)
     3884    0.020    0.000    0.039    0.000 lines.py:39(_get_dash_pattern)
    14825    0.030    0.000    0.039    0.000 _weakrefset.py:20(__enter__)
        1    0.000    0.000    0.039    0.039 backend_bases.py:33(<module>)
       40    0.001    0.000    0.039    0.001 collections.py:771(update_scalarmappable)
     1454    0.004    0.000    0.038    0.000 __init__.py:909(__setitem__)
       80    0.001    0.000    0.038    0.000 spines.py:278(draw)
11702/11700    0.035    0.000    0.038    0.000 pyparsing.py:281(__init__)
       40    0.002    0.000    0.038    0.001 axis.py:2143(_update_label_position)
      801    0.006    0.000    0.038    0.000 transforms.py:1066(__init__)
       20    0.001    0.000    0.037    0.002 cm.py:213(to_rgba)
     2322    0.008    0.000    0.036    0.000 fromnumeric.py:1866(any)
     4729    0.010    0.000    0.036    0.000 re.py:169(match)
        1    0.000    0.000    0.036    0.036 artist.py:1(<module>)
       80    0.001    0.000    0.036    0.000 axis.py:2098(_get_pixel_distance_along_axis)
       10    0.001    0.000    0.036    0.004 colorbar.py:563(_ticker)
      523    0.008    0.000    0.036    0.000 inspect.py:1052(getfullargspec)
       40    0.004    0.000    0.035    0.001 colors.py:830(__call__)
     1044    0.017    0.000    0.035    0.000 path.py:172(_fast_from_codes_and_verts)
      200    0.002    0.000    0.035    0.000 core.py:6155(array)
     2682    0.009    0.000    0.034    0.000 artist.py:919(set_zorder)
       40    0.002    0.000    0.034    0.001 axis.py:1815(_update_label_position)
     7888    0.017    0.000    0.033    0.000 lines.py:68(_scale_dashes)
      442    0.013    0.000    0.033    0.000 transforms.py:694(translated)
    18820    0.021    0.000    0.033    0.000 pyparsing.py:1618(__hash__)
     6445    0.018    0.000    0.033    0.000 abc.py:178(__instancecheck__)
      955    0.018    0.000    0.032    0.000 artist.py:953(update_from)
     4938    0.010    0.000    0.032    0.000 pyplot.py:565(_auto_draw_if_interactive)
      140    0.002    0.000    0.032    0.000 colors.py:803(process_value)
        2    0.031    0.016    0.031    0.016 {built-in method statusBar}
     7818    0.007    0.000    0.031    0.000 numeric.py:534(asanyarray)
     3723    0.018    0.000    0.031    0.000 lines.py:1039(set_linewidth)
      422    0.003    0.000    0.031    0.000 patches.py:320(_set_facecolor)
    11072    0.020    0.000    0.031    0.000 weakref.py:109(remove)
      462    0.029    0.000    0.031    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    25053    0.031    0.000    0.031    0.000 {built-in method builtins.hasattr}
      442    0.001    0.000    0.031    0.000 lines.py:744(_get_transformed_path)
       30    0.001    0.000    0.030    0.001 backend_agg.py:468(get_renderer)
     3723    0.017    0.000    0.030    0.000 lines.py:1458(set_dash_capstyle)
  320/160    0.002    0.000    0.030    0.000 transforms.py:2400(inverted)
     3723    0.030    0.000    0.030    0.000 cbook.py:752(is_numlike)
      442    0.003    0.000    0.029    0.000 lines.py:730(_transform_path)
      562    0.004    0.000    0.029    0.000 inspect.py:2146(_signature_from_callable)
       20    0.001    0.000    0.029    0.001 collections.py:1805(__init__)
    11702    0.017    0.000    0.028    0.000 pyparsing.py:272(__new__)
